Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
291.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4592,1,2024-02-05,2024-02-06
292.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3060,3,2024-02-06,2024-02-09
293.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3884,2,2024-01-20,2024-01-22
294.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6001,3,2024-01-31,2024-02-03
295.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4254,3,2024-03-30,2024-04-02
296.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4456,3,2024-03-13,2024-03-16
297.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6124,1,2024-02-08,2024-02-09
298.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7303,3,2024-02-17,2024-02-20
299.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4784,3,2024-02-27,2024-03-01
300.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3965,1,2024-02-07,2024-02-08
301.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6040,2,2024-01-23,2024-01-25
302.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5628,2,2024-03-07,2024-03-09
303.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6273,1,2024-03-20,2024-03-21
304.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4907,3,2024-02-23,2024-02-26
305.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6296,1,2024-01-26,2024-01-27
306.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3122,3,2024-01-05,2024-01-08
307.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3595,1,2024-02-21,2024-02-22
308.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5226,1,2024-01-04,2024-01-05
309.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4272,1,2024-02-29,2024-03-01
310.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5420,2,2024-03-22,2024-03-24
311.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4660,1,2024-01-29,2024-01-30
312.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6990,1,2024-01-25,2024-01-26
313.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5615,2,2024-03-05,2024-03-07
