Image,Fault_Type,Severity,ActionTaken,Estimated_Cost,Estimated_Downtime_Days,Reason,Recommendation,Next_Step
pred_256_bmp.rf.92212d3703a53065fa0dc58919753bf1.jpg,Stator fault,49.6,Component Replacement,5014.2,1.61,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_257_bmp.rf.df869017f229523240d6d4ffe8a1547d.jpg,Stator fault,49.8,Component Replacement,5527.72,1.95,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_258_bmp.rf.194713c8a5ae6115e642466156b53fea.jpg,Stator fault,49.8,Component Replacement,5412.52,2.14,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_259_bmp.rf.442bb55f61d55e506c17a618e23f8e45.jpg,Stator fault,38.3,Component Replacement,3034.72,1.96,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_260_bmp.rf.e9e3bcbfd252eb563d2944d792c616b4.jpg,Stator fault,46.7,Component Replacement,5789.59,1.41,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_261_bmp.rf.e3cd9ff56a97c02623f025ecc32ea420.jpg,Stator fault,49.3,Component Replacement,5389.75,1.88,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_262_bmp.rf.d55e54da8f45b3030c5820e41889685d.jpg,Stator fault,49.4,Component Replacement,5053.75,1.72,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_263_bmp.rf.3fc1a5e89a8897002628614a6986b92b.jpg,Stator fault,49.4,Component Replacement,5416.49,1.85,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_264_bmp.rf.1f3bded7b7074bee2f14fe2cbda15997.jpg,Stator fault,49.8,Component Replacement,5050.92,1.65,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_265_bmp.rf.58c60845db7df099f1fe6237816bd824.jpg,Stator fault,47.0,Component Replacement,5471.01,2.08,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_266_bmp.rf.e312bea533be08c889740f7bb5d46cbd.jpg,Stator fault,48.2,Component Replacement,5470.67,1.86,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_267_bmp.rf.5a6b2a44af4d3fc0ee54663aaad4d757.jpg,Stator fault,49.8,Component Replacement,5579.8,1.59,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_268_bmp.rf.39a94305fa74d2b7680f81f645f819b6.jpg,Stator fault,49.8,Component Replacement,5573.07,1.79,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_269_bmp.rf.b398e5b9ffafd68ffce42991e0b418da.jpg,Stator fault,50.0,Component Replacement,6366.61,1.58,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Replace stator windings immediately.,Immediate shutdown and corrective action required.
pred_270_bmp.rf.ebe88901b352c06de7e7f90dad3c0553.jpg,Stator fault,49.6,Component Replacement,5590.41,1.98,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_271_bmp.rf.dbac25a2b1755be5a5b2ea6572242dd7.jpg,Stator fault,49.8,Component Replacement,4803.85,2.04,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_272_bmp.rf.50127d3e0a573cf2dbc4d6a490eabcf4.jpg,Stator fault,48.9,Component Replacement,5024.15,1.91,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_273_bmp.rf.0515c98b472bc643ae237c6576bd7806.jpg,Stator fault,49.3,Component Replacement,5162.28,2.21,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_274_bmp.rf.ac6587f5f8ce04d4775faeeb6bf8c4aa.jpg,Stator fault,49.3,Component Replacement,5465.9,1.73,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_275_bmp.rf.725dfdcd043e2b32bd3d444d7f878150.jpg,Stator fault,50.0,Component Replacement,5467.05,1.73,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Replace stator windings immediately.,Immediate shutdown and corrective action required.
pred_276_bmp.rf.fc2293715fe78a5da1f02a410cd0ab67.jpg,Stator fault,48.9,Component Replacement,5396.93,1.52,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_277_bmp.rf.f09f5bb093a3258f9c3618ad749561bc.jpg,Stator fault,49.3,Component Replacement,5548.0,1.28,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_278_bmp.rf.be722ab86e7d8d07c8d0e5ebd12fc1cd.jpg,Stator fault,46.4,Component Replacement,5501.97,1.34,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_279_bmp.rf.bf917ea81a3b7c055aad98698d9a85a8.jpg,Stator fault,41.3,Component Replacement,4519.46,1.66,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_280_bmp.rf.efa02b8408cfe91f48ffc28922f1ddc7.jpg,Stator fault,50.0,Component Replacement,5629.66,1.95,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Replace stator windings immediately.,Immediate shutdown and corrective action required.
pred_281_bmp.rf.11a107fd59885ac2c8c5610085f7734c.jpg,Stator fault,47.6,Component Replacement,5794.25,1.43,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
pred_282_bmp.rf.90b40220fe76112f94a6e3656ccf7313.jpg,Stator fault,43.5,Component Replacement,5660.04,1.66,"Insulation degradation due to thermal, electrical, mechanical, or environmental stresses.",Schedule winding inspection and repair.,Schedule maintenance within 24 hours.
